"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"fig|536231.75.peg.1"	289.877559533907	-1.32943209124037	0.346462166447746	-0.950845786765161	0.341682665702232	1
"fig|536231.75.peg.2"	229.737768420329	0.109035611998497	0.386069468252683	0	1	1
"fig|536231.75.peg.3"	45.149882320288	1.21183595581735	0.489118684933736	0.43309724682885	0.664944122838196	1
"fig|536231.75.peg.4"	709.610843142421	0.193767663211233	0.286587544849931	0	1	1
"fig|536231.75.peg.5"	848.569033813919	-1.00094663768939	0.373514593310087	-0.00253440616871833	0.997977838611972	1
"fig|536231.75.peg.6"	1655.80500281687	-0.37452992573741	0.419833153643814	0	1	1
"fig|536231.75.peg.7"	165.489085360277	-0.0444960688316984	0.543660390030333	0	1	1
"fig|536231.75.peg.8"	129.404880432488	0.322464457691641	0.522204147460714	0	1	1
"fig|536231.75.peg.9"	306.211231105603	0.198609306370783	0.415721491167884	0	1	1
"fig|536231.75.peg.10"	2.80546800697911	-2.20014191660324	2.40311409256193	-0.499411126720074	0.617489782204589	1
"fig|536231.75.peg.11"	891.974960275498	2.85971153366016	0.638341820849291	2.91334747766625	0.00357576467339453	0.114686110866191
"fig|536231.75.peg.12"	123.695584438569	2.24107264462964	0.661790976988902	1.87532421532312	0.0607481339564742	0.712452586955802
"fig|536231.75.peg.13"	657.582907796865	0.49170358624237	0.313331177346539	0	1	1
"fig|536231.75.peg.14"	0	NA	NA	NA	NA	NA
"fig|536231.75.peg.15"	481.298265081112	0.206435910415848	0.329413250895617	0	1	1
"fig|536231.75.peg.16"	222.499876329102	-0.663927861247543	0.340325208796201	0	1	1
"fig|536231.75.peg.17"	183.873309186568	0.0267874587662919	0.518722225905721	0	1	1
"fig|536231.75.peg.18"	121.187310437355	0.288450909399934	0.346607684091487	0	1	1
"fig|536231.75.peg.19"	144.612506447256	0.0546627838012057	0.372822023353701	0	1	1
"fig|536231.75.peg.20"	119.417772586506	-0.174172354159978	0.407175261941122	0	1	1
"fig|536231.75.peg.21"	4.64361953582133	0.326894730822602	1.36523907179261	0	1	1
