patricID	ri_t04_A	ri_t04_B	ri_t04_C	ri_t48_A	ri_t48_B	ri_t48_C
fig|536231.75.peg.1	9543.438	6356	3644	3822	3751	7296
fig|536231.75.peg.2	8655.583	6902.965	4167	3038.446	3647.665	5883.114
fig|536231.75.peg.3	1743.432	1330.875	773.674	649.441	909.498	1295.642
fig|536231.75.peg.4	11955.871	9299.658	6554.326	6970.112	6669.837	11460.244
fig|536231.75.peg.5	15802.295	10010.654	6273	9794	10300	14782
fig|536231.75.peg.6	25082.22	15073.06	10448	22577	22438	33574
fig|536231.75.peg.7	1753.208	1081	464	1804	1733	2537
fig|536231.75.peg.8	1268.004	1040	526	1222	1006	1384
fig|536231.75.peg.9	5713	6188.946	3893	3423	2989.814	4917.448
fig|536231.75.peg.10	36	18.054	18	9.012	19	30.552
fig|536231.75.peg.11	1272.504	1157	434	13204.988	12863.186	17511
fig|536231.75.peg.12	176.496	187	121	2514.783	2625.103	4144.654
fig|536231.75.peg.13	2587.002	2024	1292	37192.217	37880.897	43953.346
fig|536231.75.peg.14	0	2	0	0	0	0
fig|536231.75.peg.15	5823.441	4885	2865	6573	5844	9774
fig|536231.75.peg.16	4084	2777	1957	2291	2890	4780
fig|536231.75.peg.17	2696.703	2256.166	1403	1575	2197	2910.413
fig|536231.75.peg.18	1305.447	1040.834	768	691	742	934.587
fig|536231.75.peg.19	2958	2440	1310	1295	1459	2819
fig|536231.75.peg.20	1370	1118	509	1786	1254	2471
fig|536231.75.peg.21	47	35	11	55	117	63
fig|536231.75.peg.22	845	577	361	479	555	846
fig|536231.75.peg.23	1927	1432	730	1344	1405	2210
fig|536231.75.peg.24	35444.3	35960.12	15453	12119	12381	19942
fig|536231.75.peg.25	3	1	0	3	29	4
fig|536231.75.peg.26	16	16	10	17	53	30
fig|536231.75.peg.27	20	20	39	27	21	21
fig|536231.75.peg.28	5	6	0	7	27	30
fig|536231.75.peg.29	5	10	0	22	19	27
fig|536231.75.peg.30	29	37	12	192	155	153
fig|536231.75.peg.31	89	57	35	194	119	247
fig|536231.75.peg.32	7.609	3	11	15.761	31.83	7
fig|536231.75.peg.33	7.391	14	0	53.239	38.17	56
fig|536231.75.peg.34	339	285	209	1582	1447	1810
fig|536231.75.peg.35	0	0	0	0	0	0
fig|536231.75.peg.36	118	105	131	438	284	406
fig|536231.75.peg.37	46	44	21	251	298	186
fig|536231.75.peg.38	2477	1558	1274	8946	6530	11626
fig|536231.75.peg.39	1312	772	585	2877	2460	4300
fig|536231.75.peg.40	82.791	81.289	56	210.703	108.242	314
fig|536231.75.peg.41	542.209	426.711	300	2448.297	1926.758	2396
fig|536231.75.peg.42	8	9	0	22	41	27
fig|536231.75.peg.43	169	117	57	205	230	358.029
fig|536231.75.peg.44	688	453	361	2677	2680	3765.971
fig|536231.75.peg.45	1190	727	479	5086	4075	6204
fig|536231.75.peg.46	4351.191	3711	2497	2660	3274	4651
fig|536231.75.peg.47	8637.714	7797.059	2441	3673	3594	5175
fig|536231.75.peg.48	2158	1379	1058	1690	1327	2435
