patricID	ri_t12_A	ri_t12_B	ri_t12_C	btri_t12_riA	btri_t12_riB	btri_t12_riC
fig|536231.75.peg.1	7654.448	6929.314	3979	462	322	398
fig|536231.75.peg.2	6564.191	5952.954	5078.526	297	126	222
fig|536231.75.peg.3	795.751	740.185	797.401	30.949	19	27.759
fig|536231.75.peg.4	7445.057	7095.861	4591.072	753.051	505	634.241
fig|536231.75.peg.5	12057.993	11234	6651	1153	882	1177
fig|536231.75.peg.6	18039.006	16929	11216	1994	1562	1749
fig|536231.75.peg.7	1608	1280	1145	169	138	168
fig|536231.75.peg.8	1227	1045	1394	134	98	95
fig|536231.75.peg.9	5099.023	5101	6861.972	304	227	279
fig|536231.75.peg.10	31.977	46	70.028	1	2	10
fig|536231.75.peg.11	16383	6396	7814	236	223	149
fig|536231.75.peg.12	2141.254	688	756	61	36	28
fig|536231.75.peg.13	21026.889	5199.062	7738	471	527	528
fig|536231.75.peg.14	0	0	0	0	0	0
fig|536231.75.peg.15	2631	1939	5563	532	371	375
fig|536231.75.peg.16	2116	1230	3504	277	212	286
fig|536231.75.peg.17	1559	994	2088.633	177	146	192
fig|536231.75.peg.18	848.004	390	1095.367	112	97	99
fig|536231.75.peg.19	2692	2188	2528	161	116	127
fig|536231.75.peg.20	1141	1006	668	126	107	125
fig|536231.75.peg.21	56	15	31	7	3	2
fig|536231.75.peg.22	728	581	382	80	63	78
fig|536231.75.peg.23	1795	1448	1334	201	126	165
fig|536231.75.peg.24	32768.683	24622.766	42605	2062.294	1498	1626
fig|536231.75.peg.25	0	0	0	0	0	0
fig|536231.75.peg.26	0	1	0	0	0	0
fig|536231.75.peg.27	7	14.008	15	2	3	1
fig|536231.75.peg.28	2	1.992	3	1	0	0
fig|536231.75.peg.29	7	2	0	2	0	4
fig|536231.75.peg.30	5	22	10	9	10	2
fig|536231.75.peg.31	28	24	23	4	2	7
fig|536231.75.peg.32	0	0	0	0	0	0
fig|536231.75.peg.33	4	3	1	0	0	0
fig|536231.75.peg.34	57	83	31	22	30	29
fig|536231.75.peg.35	0	0	0	0	0	0
fig|536231.75.peg.36	14	33	1	6	4	4
fig|536231.75.peg.37	2	13	0	2	6	0
fig|536231.75.peg.38	2300	1593	1869	346	330	287
fig|536231.75.peg.39	1855	1003	952	351	258	254
fig|536231.75.peg.40	51.905	23.603	105.786	16	8	19
fig|536231.75.peg.41	465.095	184.397	637.214	52	59	55
fig|536231.75.peg.42	3	7	2	0	1	1
fig|536231.75.peg.43	150	90.51	207	25	27	16
fig|536231.75.peg.44	678	372.49	741	93	93	89
fig|536231.75.peg.45	1316	693	1051	135	145	120
fig|536231.75.peg.46	18420.898	12260	8478	2401	2105	2757
fig|536231.75.peg.47	35788.254	26469.107	15745	4158	3020	4679
fig|536231.75.peg.48	2787	1793	1602	490	410	520
fig|536231.75.peg.49	3631	1861	2737	325	233	262
fig|536231.75.peg.50	67	72.999	25	15	4	4
