"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"fig|536231.75.peg.1"	5462.65665417946	-0.680419384942021	0.167931689081386	0	1	1
"fig|536231.75.peg.2"	5282.64573248989	-0.960695788436384	0.157823544445457	0	1	1
"fig|536231.75.peg.3"	1083.66085317158	-0.717740682367559	0.200297972234362	0	1	1
"fig|536231.75.peg.4"	8613.62837024694	-0.480814513477669	0.158197426184601	0	1	1
"fig|536231.75.peg.5"	10624.3375296369	-0.133529786659505	0.154362267884719	0	1	1
"fig|536231.75.peg.6"	20233.3745627312	0.367686331914922	0.161172324800679	0	1	1
"fig|536231.75.peg.7"	1427.64127001474	0.700099355939036	0.220545648526035	0	1	1
"fig|536231.75.peg.8"	1024.23345584363	0.117768466764625	0.195204406126481	0	1	1
"fig|536231.75.peg.9"	4543.36113657088	-0.826216024817014	0.189560054787977	0	1	1
"fig|536231.75.peg.10"	21.1998638293023	-0.648189485806971	0.830377404349939	0	1	1
"fig|536231.75.peg.11"	6871.49992074595	3.72084717392995	0.181643328972387	14.9790646830942	1.00623142790586e-50	4.84766787914647e-49
"fig|536231.75.peg.12"	1425.25482450151	3.92020713733204	0.206084355501734	14.1699603068971	1.40579950838269e-45	5.18626034849288e-44
"fig|536231.75.peg.13"	18738.155952957	4.07438505962047	0.170112764848408	18.0726300131571	5.23572552315223e-73	4.20397961123694e-71
"fig|536231.75.peg.14"	0.32350711367917	-2.11247761220847	4.03671579652239	-0.275589778494405	0.782863161334318	NA
"fig|536231.75.peg.15"	5604.60572529963	0.41220561336809	0.139262836359082	0	1	1
"fig|536231.75.peg.16"	2979.99764627848	-0.147148529511553	0.187884147414549	0	1	1
"fig|536231.75.peg.17"	2102.18613251104	-0.23112695027891	0.188749339263526	0	1	1
"fig|536231.75.peg.18"	915.772141671743	-0.703173811929889	0.211526814709244	0	1	1
"fig|536231.75.peg.19"	1953.83067920181	-0.583340498998655	0.18354927405745	0	1	1
"fig|536231.75.peg.20"	1303.32156590367	0.626681626110972	0.200356031968402	0	1	1
"fig|536231.75.peg.21"	51.5883266839964	1.2516527594307	0.645195284327698	0.390041225569287	0.69650606270459	1
"fig|536231.75.peg.22"	581.677816498617	-0.204683976257968	0.208903774134608	0	1	1
"fig|536231.75.peg.23"	1415.34967076429	0.0237336548574629	0.165574503639558	0	1	1
"fig|536231.75.peg.24"	21447.2405875171	-1.23721338422972	0.153859981274746	-1.54174842778727	0.123134738753496	0.384326795118572
"fig|536231.75.peg.25"	6.51838977938986	3.28647587975501	1.82868790654105	1.2503368516719	0.211176521939105	0.603888168533962
"fig|536231.75.peg.26"	22.9969535985586	1.00764359826429	0.852812098072665	0.00896281640652883	0.992848802913135	1
"fig|536231.75.peg.27"	27.9197141391713	-0.707930478814598	0.851075924100106	0	1	1
