Genome	Genome ID	Accession	BRC ID	RefSeq Locus Tag	Alt Locus Tag	Feature ID	Annotation	Feature Type	Start	End	Length	Strand	FIGfam ID	PATRIC genus-specific families (PLfams)	PATRIC cross-genus families (PGfams)	Protein ID	AA Length	Gene Symbol	Product	GO
Blautia sp. CAG:237	1262755.3	FR886722	fig|1262755.3.peg.1226	BN552_01134		PATRIC.1262755.3.FR886722.CDS.53925.54188.rev	PATRIC	CDS	53925	54188	264	-	FIG01304862	PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia sp. CAG:257	1262756.3	HF999051	fig|1262756.3.peg.1465	BN568_01300		PATRIC.1262756.3.HF999051.CDS.3967.4230.fwd	PATRIC	CDS	3967	4230	264	+	FIG01304862	PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia hansenii strain 1001175st1_E1	1322.53	SPHE01000012	fig|1322.53.peg.210			PATRIC.1322.53.SPHE01000012.CDS.51502.51765.rev	PATRIC	CDS	51502	51765	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia hansenii strain BBMGS-G01-098	1322.61	JAFIKB010000006	fig|1322.61.peg.2470			PATRIC.1322.61.JAFIKB010000006.CDS.102983.103246.rev	PATRIC	CDS	102983	103246	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia caecimuris strain MSK.19.25	1796615.6	JAAIPW010000001	fig|1796615.6.peg.1007	G4948_00780		PATRIC.1796615.6.JAAIPW010000001.CDS.189941.190204.rev	PATRIC	CDS	189941	190204	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia caecimuris DSM 29492	1796615.8	JANJZT010000003	fig|1796615.8.peg.2661	NSA57_03070		PATRIC.1796615.8.JANJZT010000003.CDS.98111.98374.rev	PATRIC	CDS	98111	98374	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia sp. Marseille-P3087	1917876.3	LT635539	fig|1917876.3.peg.2772			PATRIC.1917876.3.LT635539.CDS.2853899.2854162.fwd	PATRIC	CDS	2853899	2854162	264	+	FIG01304862	PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia sp. bin_15_DannyCat	1955243.16	JAPFCU010000075	fig|1955243.160.peg.1720			PATRIC.1955243.160.JAPFCU010000075.CDS.110.373.fwd	PATRIC	CDS	110	373	264	+		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia sp. strain S03B.meta.bin_11	1955243.54	RPVC01000023	fig|1955243.54.peg.1937			PATRIC.1955243.54.RPVC01000023.CDS.48712.48975.rev	PATRIC	CDS	48712	48975	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia sp. strain COPD155	1955243.6	WGXY01000001	fig|1955243.60.peg.37			PATRIC.1955243.60.WGXY01000001.CDS.37840.38103.fwd	PATRIC	CDS	37840	38103	264	+		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia sp. strain 11WH	1955243.62	JAFHBI010000173	fig|1955243.62.peg.2445	JTJ20_11695		PATRIC.1955243.62.JAFHBI010000173.CDS.53691.53954.rev	PATRIC	CDS	53691	53954	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia sp. strain MAG.149	1955243.76	JAGHFD010000167	fig|1955243.76.peg.330			PATRIC.1955243.76.JAGHFD010000167.CDS.3892.4155.fwd	PATRIC	CDS	3892	4155	264	+		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia sp. strain L3_128_361G1_dasL3_128_361G1_concoct_8_sub	1955243.92	JAGZJG010000010	fig|1955243.92.peg.35	KHZ06_05545		PATRIC.1955243.92.JAGZJG010000010.CDS.17930.18193.fwd	PATRIC	CDS	17930	18193	264	+		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia sp. strain L3_121_363G1_dasL3_121_363G1_concoct_22	1955243.96	JAGZPM010000002	fig|1955243.96.peg.510	KH087_01370		PATRIC.1955243.96.JAGZPM010000002.CDS.69615.69878.rev	PATRIC	CDS	69615	69878	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia sp. AF19-10LB	2292961.3	QTWS01000008	fig|2292961.3.peg.3858	DWX28_06815		PATRIC.2292961.3.QTWS01000008.CDS.87182.87445.rev	PATRIC	CDS	87182	87445	264	-	FIG01304862	PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia sp. OM07-19	2292985.3	QULA01000011	fig|2292985.3.peg.713	DXC01_09645		PATRIC.2292985.3.QULA01000011.CDS.82428.82691.rev	PATRIC	CDS	82428	82691	264	-	FIG01304862	PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia sp. BIOML-A1	2584624.3	WWVR01000010	fig|2584624.3.peg.61	GT674_06590		PATRIC.2584624.3.WWVR01000010.CDS.67030.67293.rev	PATRIC	CDS	67030	67293	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia sp. 2744	2763028.3	JACOQE010000004	fig|2763028.3.peg.1810	H8Z79_08735		PATRIC.2763028.3.JACOQE010000004.CDS.130010.130273.rev	PATRIC	CDS	130010	130273	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia intestinalis AF99-42	2763028.4	JAQDGY010000003	fig|2763028.4.peg.2142			PATRIC.2763028.4.JAQDGY010000003.CDS.118199.118462.rev	PATRIC	CDS	118199	118462	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia intestinalis AM73-4pH9A	2763028.5	JAQEHF010000006	fig|2763028.5.peg.3177			PATRIC.2763028.5.JAQEHF010000006.CDS.144815.145078.fwd	PATRIC	CDS	144815	145078	264	+		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia intestinalis AF60-20pH9A	2763028.6	JAQDBP010000008	fig|2763028.6.peg.3656			PATRIC.2763028.6.JAQDBP010000008.CDS.154504.154767.fwd	PATRIC	CDS	154504	154767	264	+		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
