geneID	patricID	transcriptID	function	bt_t04_A	bt_t04_B	bt_t04_C	bt_t12_A	bt_t12_B	bt_t12_C	bt_t36_A	bt_t36_B	bt_t36_C	btri_t12_btA	btri_t12_btB	btri_t12_btC	btri_t24_btA	btri_t24_btB	btri_t24_btC	btri_t36_btA	btri_t36_btB	btri_t36_btC
BT_0001	fig|226186.12.peg.1	AAO75108	hypothetical protein	29	57	34	145	106	109	112	40	29	94	70	59	4	10	0	85	12	51
BT_0002	fig|226186.12.peg.2	AAO75109	hypothetical protein	79	89	65	89	65	41	0	8	8	80	103	64	66	32	0	138	59	39
BT_0003	fig|226186.12.peg.3	AAO75110	hypothetical protein	28	41	20	47	14	19	0	2	0	30	16	42	6	8	0	0	0	6
BT_0004	fig|226186.12.peg.4	AAO75111	hypothetical protein	3	11	7	10	6	35	0	3	14	2	4	7	5	0	8	0	0	0
BT_0005	fig|226186.12.peg.5	AAO75112	SSU ribosomal protein S17p (S11e)	5	6	2	6	11	18	0	2	0	7	8	3	0	0	0	0	0	7
BT_0006		AAO75113		4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BT_0007		AAO75114		3	3	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
BT_0008	fig|226186.12.peg.7	AAO75115	hypothetical protein	2246.002	2543	2336	403	389	521	250	280	162	328	296	301	215	100	71	618	116	73
BT_0009	fig|226186.12.peg.8	AAO75116	"Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)"	281	221	255	179	155	219	37	0	18	658	705	572	36	19	0	13	38	0
BT_0010	fig|226186.12.peg.9	AAO75117	hypothetical protein	80	72	55	66	38	67	5	7	0	81	49	79	0	20	0	15	27	0
BT_0011	fig|226186.12.peg.11	AAO75118	hypothetical protein	29.327	17	23	28	16	28	0	0	0	30	23	18	7	0	0	8	16	38
BT_0012	fig|226186.12.peg.12	AAO75119	Outer membrane lipoprotein	267	226	246	463	307	463	246	201	177	895	799	662	127	36	22	73	97	92
BT_0013		AAO75120		57	47	37	26	57	31	0	25	0	65	57	89	0	0	20	0	1	0
BT_0014	fig|226186.12.peg.13	AAO75121	Two-component system sensor histidine kinase	181	132.765	170	135	165	126	33	7	39	366	354	256	15	9	10	55	53	20
BT_0015	fig|226186.12.peg.14	AAO75122	"rteB, two-component system response regulator"	17	25	25	3	2	9	10	19	0	42	53	46	9	11	16	0	11	0
BT_0016	fig|226186.12.peg.15	AAO75123	hypothetical protein	17	13	8.252	5	3	6	0	7	11	7	20	11	13	0	0	8	24	10
BT_0017		AAO75124		31	21	25.748	25	6	0	0	3	0	17	19	16	2	0	0	0	8	0
BT_0018	fig|226186.12.peg.18	AAO75125	hypothetical protein	18	35	26	45	17	46	21	14	12	162	171	134	100	63	56	32	53	38
BT_0019	fig|226186.12.peg.19	AAO75126	hypothetical protein	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BT_0020		AAO75127		0	0	0	0	0	0	0	0	12	1	3	3	0	0	0	0	25	0
BT_0021	fig|226186.12.peg.20	AAO75128	hypothetical protein	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BT_0022	fig|226186.12.peg.22	AAO75129	hypothetical protein	11.111	13.41	2	8	19	26.671	0	0	0	20.989	25.991	23.993	0	0	0	22	0	0
BT_0023	fig|226186.12.peg.24	AAO75130	Transposase	0	5	1	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0
BT_0024		AAO75131		10	12	17	44	31	69	26	40	20	75	151.571	67	71	14	0	43	38	18
BT_0025	fig|226186.12.peg.25	AAO75132	Transposase	0	0	2	10	3	4	0	0	0	6	4	3	9	11	0	0	0	0
BT_0026	fig|226186.12.peg.28	AAO75133	ISNCY family transposase	14	17	7	4	3	0	0	1	0	5	0	5	3	0	0	4	15	0
BT_0027	fig|226186.12.peg.29	AAO75134	ISNCY family transposase	167	236	227.057	48.42	3	8	12	2	0	41	10	15	3	31	0	69	13	0
BT_0028	fig|226186.12.peg.31	AAO75135	Alkaline phosphatase	95.288	96	99.4	59	42	49	0	8	10	39.872	32	31	10	0	0	18	0	0
BT_0029	fig|226186.12.peg.32	AAO75136	"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family"	538.945	614	523.6	495	477	616	7	16	0	351.128	438	500	46	48	89	27	103	26
BT_0030	fig|226186.12.peg.33	AAO75137	"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family"	175.767	299	227	209	213	228	0	11	13	134.001	176	187	35	27	16	13	0	0
BT_0031	fig|226186.12.peg.34	AAO75138	hypothetical protein	96	86	68	84	33	74	13	7	0	53	43	44	21	0	13	5	13	0
BT_0032		AAO75139		7	17	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
BT_0033		AAO75140		45	66	37	85	26	80	7	18	26	41	40	45	19	0	0	47	9	4
BT_0034	fig|226186.12.peg.35	AAO75141	"Transposase, IS4"	138.998	172	161.006	81	33	62	31	21	35	91	76	91	81	27	35	136	86	17
BT_0035		AAO75142		4	9	7	2	0	0	0	0	8	0	0	0	5	0	0	19	4	0
BT_0036	fig|226186.12.peg.36	AAO75143	Integrase	20	15	41	24	11	32	0	35	28	50	44	47	31	0	16	4	65	0
BT_0037	fig|226186.12.peg.37	AAO75144	"Capsular polysaccharide transcription antitermination protein, UpxY family"	902	1209	684	392	295	335	41	53	21	581.054	370	449.985	121	33	0	58	74	102
BT_0038	fig|226186.12.peg.38	AAO75145	hypothetical protein	60	114	49	24	23	11	0	0	22	6.946	3	6.015	0	12	0	14	9	10
BT_0039	fig|226186.12.peg.39	AAO75146	hypothetical protein	64	123.999	60	88	83	96	29	6	7	44.623	43	60	23.658	16	0	0	13	0
BT_0040	fig|226186.12.peg.40	AAO75147	putative flippase	216	295.001	167	185	193	207	40	37	36	183.377	159	145.887	44.342	4	12	17	23	20
BT_0041	fig|226186.12.peg.41	AAO75148	"Related to F420H2-dehydrogenase, beta subunit"	217.589	307.702	179.278	365	262	370	40	14	12	251	289.999	298.854	21	2	0	8	57	25
BT_0042	fig|226186.12.peg.42	AAO75149	Polysaccharide pyruvyl transferase	89.411	125.298	91.73	131	103	106	0	0	0	49	50.001	20.259	2	8	0	0	0	6
BT_0043		AAO75150		2	0	2.992	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0
BT_0044	fig|226186.12.peg.43	AAO75151	"Beta-1,3-glucosyltransferase"	51	66.75	43	37	22	36	0	6	0	20	21	29	4	13	0	22	0	0
BT_0045	fig|226186.12.peg.44	AAO75152	putative polysaccharide biosynthesis protein	104	155.017	63	68	66	67	0	0	0	83.911	46.006	81.798	32	5	17.438	34.12	26	0
BT_0046	fig|226186.12.peg.46	AAO75153	Putative glycosyltransferase	180	205.233	117	143	109	152	17	40	12	164.106	193.994	165.202	89	3	35.562	24.88	49	10
BT_0047		AAO75154		19	42	23	22	22	23	0	0	0	10	8	10	7	0	0	0	15	0
BT_0048		AAO75155		51	49	21	39	6	35	2	0	23	10	15	16	5	0	0	7	0	0
BT_0049	fig|226186.12.peg.47	AAO75156	Putative glycosyltransferase	117	124	57	90	123	121	0	11	0	71	88	77	26	17	0	41	0	24
BT_0050	fig|226186.12.peg.48	AAO75157	"Beta-1,3-glucosyltransferase"	69.605	83	42.836	130.034	72	112	44	0	34	129	159	142.999	68.842	35	15	31	39	26
BT_0051	fig|226186.12.peg.49	AAO75158	Putative glycosyltransferase	89.395	107	64.164	65.966	88	72	0	18	39	54	55.13	94.001	20.158	6	0	8	26	14
BT_0052	fig|226186.12.peg.50	AAO75159	hypothetical protein	631.559	916	504	933	561	1129	42	34	5	1199	974.719	960.726	45	15	22	20	52	7
BT_0053	fig|226186.12.peg.51	AAO75160	"Glycosyl transferase, group 1"	186.441	247	132	234	226	236	48	96	22	189	151.151	150.274	93	13	28	57	135	78
BT_0054	fig|226186.12.peg.52	AAO75161	Putative glycosyltransferase	84	97	60	100	83	125	16	16	0	106.011	99	143	31	0	0	6	30	14
BT_0055	fig|226186.12.peg.53	AAO75162	Glycosyltransferase	90.284	117	75	159	117	156	0	9	29	88.989	86	119.414	45	0	0	0	14.016	0
BT_0056	fig|226186.12.peg.54	AAO75163	Putative glycosyltransferase	145.716	182	97	285	238	230	13	53	27	239	275.302	208.694	36	0	6	11	47.984	0
BT_0057		AAO75164		57	64	37.989	108	104	105	15	4	0	88	144.698	102.892	8	0	14	3	0	0
BT_0058	fig|226186.12.peg.55	AAO75165	hypothetical protein	1331	1394.533	954.24	2197	1645	2560.323	449	491	302	3723.771	4691.164	3105.66	728	299	202	245	703	690
BT_0059	fig|226186.12.peg.56	AAO75166	hypothetical protein	1065	1427.635	894	1509.065	1264	1835.722	206	192	84	2168.894	2536.836	1860.262	233	107	111	135	260	129
BT_0060	fig|226186.12.peg.58	AAO75167	Polysaccharide export outer membrane protein	314	387	223	489	446	541	40	12	72	840.483	784	624.349	12	22	19	20	71	78
BT_0061	fig|226186.12.peg.59	AAO75168	Tyrosine-protein kinase (EC 2.7.10.2)	1661	1953	1301.05	2632	1890	2816	451	362	191	4623.853	4366	3459	279	166	168	262	680	282
BT_0062		AAO75169		2	0	3	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0
BT_0063	fig|226186.12.peg.60	AAO75170	hypothetical protein	2	3	6	0	0	7	0	0	0	2	5.103	3	0	0	0	0	0	0
BT_0064	fig|226186.12.peg.61	AAO75171	hypothetical protein	580	839	423.46	1456	1213	1752	117	189	160	1654	1440.897	1397.977	89	30	7	174	203	63
BT_0065	fig|226186.12.peg.62	AAO75172	hypothetical protein	1293	1795	900.54	2739	2045	2509	661	786	270	3949	4176.992	3041.023	732	264	187	261	197	200
BT_0066	fig|226186.12.peg.63	AAO75173	major outer membrane protein OmpA	148	221	138	304	268	261	0	28	0	189	213	167	15	0	0	8	41	0
BT_0067		AAO75174		13	27	25	16	17	23	0	0	0	22	8	14	0	0	0	0	0	0
BT_0068		AAO75175		114	134	69	178	100	202	67	61	14	187	134	234	41	20	41	13	143	70
BT_0069	fig|226186.12.peg.64	AAO75176	Transposase	352.195	418.011	323.262	508	511	359	22	44	0	279.787	365.993	387	30	37	0	34	0	29
BT_0070	fig|226186.12.peg.65	AAO75177	"ISPsy6, transposase"	562.841	666.989	575.727	554	533.181	629	77	5	0	445.482	398.007	532.987	24	0	0	17	0	47
BT_0071		AAO75178		1368	1777	1375	1141	972.819	1255	30	60	43	1056.791	1194	1066.013	45	9	28	58	48	0
BT_0072	fig|226186.12.peg.66	AAO75179	"Efflux ABC transporter, permease/ATP-binding protein"	851.962	768.646	744.282	1122.477	952.239	1050.007	168	128	43	738.62	677.565	677.74	67.276	47	14	48.295	37	44.895
BT_0073	fig|226186.12.peg.67	AAO75180	"Efflux ABC transporter, permease/ATP-binding protein"	40879.58	39536.247	34858.218	44056.151	34131.153	42742.885	6037.465	6464.349	4437	120789.386	127728.3	95150.062	23697.591	8729.95	6632.046	6937.341	13143.415	11377.624
BT_0074	fig|226186.12.peg.70	AAO75181	hypothetical protein	8404.082	8807.561	8076.64	7118.388	4923.608	6207.108	2304.535	2661.651	1784	19551.54	18143.637	14813.782	7934.133	4224.05	3433.954	3086.363	7598.585	4809.481
BT_0075	fig|226186.12.peg.71	AAO75182	hypothetical protein	72.889	50.59	67	23	7	13.329	7	10	0	32.011	31.009	36.007	65	14	0	19	29	0
BT_0076	fig|226186.12.peg.73	AAO75183	Transposase	459	565	543	44	22	53	29	28	61	29	15	33	83.032	28	48	165	34	43
BT_0077	fig|226186.12.peg.74	AAO75184	hypothetical protein	44	43	32	47	24	32	6	5	0	27	36	40	10.968	0	0	10	0	0
BT_0078	fig|226186.12.peg.75	AAO75185	UPF0758 family protein	12	12	7	0	0	1	0	0	0	3	0	1	5	0	0	3	0	0
BT_0079	fig|226186.12.peg.76	AAO75186	Antirestriction protein ArdA	0	1	4	0	0	3	0	0	0	0	0	0	0	12	0	4	0	0
BT_0080		AAO75187		0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0
BT_0081	fig|226186.12.peg.77	AAO75188	FIG00404869: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BT_0082	fig|226186.12.peg.78	AAO75189	hypothetical protein	1105.478	1550.338	929.47	554.303	477	277	22	68	88	226	268	256	1323.862	313	296	548.699	908.986	377
BT_0083	fig|226186.12.peg.79	AAO75190	hypothetical protein	1664.522	2248.662	2076.568	755.697	630	576	36	20	0	236	251	294	257.138	125	69	471.301	781.014	167
BT_0084	fig|226186.12.peg.80	AAO75191	Conjugative transposon protein TraQ	5	29	15	64	31	49	28	5	23	192	218	162.736	42	9	11	31	25	0
BT_0085	fig|226186.12.peg.81	AAO75192	Conjugative transposon protein TraO	1	5	7	15	4	7	6	8	0	16	23	23.767	6	0	0	0	0	0
BT_0086	fig|226186.12.peg.82	AAO75193	Conjugative transposon protein TraN	15	25	13	65	11	35	32	28	14	48	38	26.496	29	0	0	19	64	0
BT_0087	fig|226186.12.peg.83	AAO75194	Conjugative transposon protein TraM	23	16	8	61	42	42	81	194	149	131	124	95	251	130	79	398	93	137
BT_0088	fig|226186.12.peg.84	AAO75195	Conjugative transposon protein TraL	3	0	0	2	3	1	9	0	0	3	2	3	0	0	0	0	0	0
BT_0089	fig|226186.12.peg.85	AAO75196	Conjugative transposon protein TraK	3	4	5	0	0	1	0	0	0	1	6	7	0	0	0	0	0	0
BT_0090	fig|226186.12.peg.86	AAO75197	Conjugative transposon protein TraJ	15	17	9	21	35	65	0	3	16	33	59	45	21	15	0	12	0	0
BT_0091	fig|226186.12.peg.88	AAO75198	Conjugative transposon protein TraI	3	0	2	5	7	6	0	0	0	3	8	4	7	0	0	5	14	6
BT_0092	fig|226186.12.peg.89	AAO75199	Conjugative transposon protein TraH	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BT_0093	fig|226186.12.peg.90	AAO75200	Conjugative transposon protein TraG	6	6	10	2	22	14	0	0	0	22	23	14	11	14	0	0	26.487	0
BT_0094	fig|226186.12.peg.91	AAO75201	Conjugative transposon protein TraF	6	1	8	14	17	18	10	16	0	31	9	10	11	0	0	0	11.513	0
BT_0095	fig|226186.12.peg.92	AAO75202	Conjugative transposon protein TraE	0	0	2	0	0	0	6	0	0	2	0	1	0	0	0	0	0	0
BT_0096	fig|226186.12.peg.93	AAO75203	Conjugative transposon protein TraD	3	16	13	39	25	29	12	0	0	102	71	65	27	24	13	21	0	0
BT_0097	fig|226186.12.peg.94	AAO75204	Conjugative transposon protein TraB	2	1	6	0	4	1	8	0	0	2	0	0	0	0	0	0	0	0
BT_0098	fig|226186.12.peg.95	AAO75205	Conjugative transposon protein TraA	3	6	14	15	17	7	0	11	0	26	31	17	27	0	0	14	14	31
BT_0099		AAO75206		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BT_0100	fig|226186.12.peg.96	AAO75207	"hypothetical protein clusted with conjugative transposons, BF0131"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BT_0101	fig|226186.12.peg.97	AAO75208	Putative conjugative transposon mobilization protein BF0132	4	12	2	3	9	0	0	0	0	12	8	4	0	0	0	0	0	14
BT_0102	fig|226186.12.peg.98	AAO75209	Putative mobilization protein BF0133	9	13	13	22	11	14	0	0	11	17	16	27	32	0	0	14	0	13
BT_0103	fig|226186.12.peg.99	AAO75210	Hypothetical protein BF1253	1	2	2	0	0	2	0	0	0	8	0	3	14	0	0	0	17	0
BT_0104		AAO75211		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BT_0105	fig|226186.12.peg.100	AAO75212	"DNA topoisomerase III, Bacteroidales-type (EC 5.99.1.2)"	30	25	18	57	32	59	12	9	6	94	97	79	18	2	0	48	1	33
BT_0106	fig|226186.12.peg.101	AAO75213	Bifunctional deaminase-reductase domain protein	2192	2641.955	1943	1071	711	862	210	154	179	1970	1216	1465	187	49	41	213	57	57
BT_0107	fig|226186.12.peg.103	AAO75214	hypothetical protein	9	5	1	8	3	2	0	14	0	7	10	7	13	0	0	32	0	0
BT_0108	fig|226186.12.peg.104	AAO75215	Toprim domain protein	28	23	25	13	5	18	12	12	0	41.281	48	49	8	8	0	11	0	0
BT_0109	fig|226186.12.peg.105	AAO75216	hypothetical protein	3	3	4	0	5	0	0	0	0	8.719	3	0	0	0	0	0	0	0
BT_0110	fig|226186.12.peg.106	AAO75217	Tetracycline resistance element mobilization regulatory protein RteC	18	38	22	5	3	8	0	0	0	8	6	5	0	0	0	42	21	11
BT_0111	fig|226186.12.peg.107	AAO75218	hypothetical protein	151	161.03	168	69	22	33	12	0	0	231	195	131.002	0	5	0	2	0	0
BT_0112	fig|226186.12.peg.108	AAO75219	"Uncharacterized membrane protein, YraQ family"	41	37	55	63	41	53	0	11	0	58	32	17	10	8	0	18	8	0
BT_0113		AAO75220		39	53	22	28	52	22	0	1	0	41.512	9	27.266	0	0	0	23	0	0
BT_0114	fig|226186.12.peg.111	AAO75221	Arsenical-resistance protein ACR3	119.152	167	171	132	101	172	3	12	31	289.488	175	226.734	15	7	0	16	31	26
BT_0115	fig|226186.12.peg.112	AAO75222	"Arsenate reductase (EC 1.20.4.4) thioredoxin-coupled, LMWP family"	30.848	28.988	36	3	4	2	0	6	0	13	7.597	6	0	0	0	0	0	0
BT_0116	fig|226186.12.peg.113	AAO75223	Arsenite/antimonite pump-driving ATPase ArsA (EC 3.6.3.16)	122	133.012	86	66	62	30	1	10	34	34	44.403	38	42	36	21	20	19	18
BT_0117	fig|226186.12.peg.114	AAO75224	"Asenic metallochaperone ArsD, transfers trivalent metalloids to ArsAB pump"	20	44	14.485	14	3	10	0	0	0	2	7	5	1	0	0	5.605	0	11
BT_0118	fig|226186.12.peg.115	AAO75225	Cytochrome c biogenesis protein	94	118.564	143.04	15	10	6	0	9	0	9	5	10	17	0	0	31.395	0	0
BT_0119	fig|226186.12.peg.116	AAO75226	hypothetical protein	138.399	162.263	171.905	2	0	0	0	0	0	0	0	3	0	0	1	1.035	0	0
BT_0120	fig|226186.12.peg.117	AAO75227	Redox-active disulfide protein 2	40.619	73.19	67.57	0	0	0	0	0	0	4	2	2	11	0	0	8.965	0	0
BT_0121	fig|226186.12.peg.118	AAO75228	Arsenical resistance operon repressor	4350.982	4374.982	4387	540	422	417	5	21	60	323	250	222	68	36	37	48	31	15
BT_0122	fig|226186.12.peg.119	AAO75229	"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)"	22897.324	21984.609	20262.878	38120.995	28370	30370	3327	4590	2969	62373.427	53209.714	44934.491	5686	982	1046	3906	3201	2348
BT_0123	fig|226186.12.peg.120	AAO75230	HoxE-like protein	12	6	7	4	6	5	0	0	0	6.002	5	5	10	5	0	0	17	31
BT_0124	fig|226186.12.peg.121	AAO75231	Periplasmic [FeFe] hydrogenase large subunit (EC 1.12.7.2)	50	45	45	48	34	30	0	64	46	42.998	45	42	15	0	0	8	40	0
BT_0125	fig|226186.12.peg.122	AAO75232	HoxF-like protein	1268	1490	1400	527	375	404	69	53	62	296	341	348	333	65	50	138	118	23
BT_0126	fig|226186.12.peg.123	AAO75233	hypothetical protein	3924.015	3788.875	3885.493	4005	3508	4046	579	652	728	4918	5346.916	4875.846	2050	665	453	391	462	323
BT_0127	fig|226186.12.peg.124	AAO75234	COG5434 Endopygalactorunase	849.985	938.125	995.507	739	701	773	89	121	121	668	689	806.154	278	111	80	219	110	66
BT_0128	fig|226186.12.peg.125	AAO75235	hypothetical protein	1256	1805.001	1321.075	65	83	66	8	14	6	168	193	169	43	11	22	156	47	28
BT_0129	fig|226186.12.peg.126	AAO75236	Mannonate dehydratase (EC 4.2.1.8)	33	42	34	88	46	94	34	20	0	59	44	74	54	13	30	32	66	23
BT_0130	fig|226186.12.peg.127	AAO75237	D-mannonate oxidoreductase (EC 1.1.1.57)	27	42	25	30	23	38	7	25	0	15	19	16	28	0	0	12	40	23
BT_0131	fig|226186.12.peg.128	AAO75238	"Transposase, Gmet_2093 family"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
BT_0132	fig|226186.12.peg.129	AAO75239	Putative alpha-glucosidase	349.001	355	311	498	426	417	154	183	141	629	503	527	510	216	118	247	368	209
BT_0133	fig|226186.12.peg.130	AAO75240	N-acetylmuramic acid 6-phosphate etherase (EC 4.2.1.126)	2734.745	2743.362	2582.727	6733.216	5099.697	6131	865	1099	934	21005.947	17352.48	15522.978	917.163	320	193	958	891	660.816
BT_0134	fig|226186.12.peg.131	AAO75241	hypothetical protein	290.089	325.734	267.216	624.197	584.666	461	31	34	76	342.547	318.353	488.589	49.837	0	36	15	32	46.184
BT_0135	fig|226186.12.peg.132	AAO75242	hypothetical protein	2462.167	2739.905	3189.209	7813.588	7726.637	7098	310	263	201	5210.055	6596.767	5601.824	1773	500	395	101	316	183
BT_0136	fig|226186.12.peg.133	AAO75243	hypothetical protein	531.999	649.895	502	631	629	782	277	346	198	1341	1035	1173	1969	425	524	480	416	445
BT_0137	fig|226186.12.peg.134	AAO75244	Putative glycosyl hydrolase of unknown function (DUF1680)	138.001	215.105	88	71	40	73	37	64	127	80	110	67	224	17	71	68	26	58
BT_0138	fig|226186.12.peg.135	AAO75245	"DNA-binding response regulator, AraC family"	10367.692	10947.015	9743.194	9546	7786	9530.954	3232	4488	3284	22441.639	18512	16856.965	14150	5603	4439	4352	16537	9889
BT_0139	fig|226186.12.peg.136	AAO75246	RNA polymerase ECF-type sigma factor	13	18	6	0	0	2	0	7	0	0	1	4	6	0	0	0	0	0
BT_0140	fig|226186.12.peg.137	AAO75247	"Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family"	420	427.988	478	284	258	270	85	65	88	522.716	543	536	943	239	146	99	143	183
BT_0141	fig|226186.12.peg.138	AAO75248	"Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family"	167	248.012	159	136	105	140	68	65	41	297.284	236	351	252	55	47	101	213	208
BT_0142	fig|226186.12.peg.139	AAO75249	Protein containing cell adhesion domain	82	103.983	105	129.701	124	109	33	84	49	96	151.239	120.124	134	18	29	36	78	44
BT_0143	fig|226186.12.peg.140	AAO75250	Putative transmembrane protein	325	342.017	364	503.299	401	495	240	193	223	490.002	398.761	451.876	474	152	74	155	162	86
BT_0144	fig|226186.12.peg.141	AAO75251	putative beta-xylosidase	10	7	4	13	23	7	0	0	12	3	8	19	0	9	0	11	0	0
BT_0145	fig|226186.12.peg.142	AAO75252	putative beta-xylosidase	40	25	35	65	23	35	0	17	0	45	60	47	76	9	0	22	40	0
BT_0146	fig|226186.12.peg.143	AAO75253	Glucuronyl hydrolase	89	76	79	112	122	139	5	23	77	204	183	179	22	0	0	19	0	12
BT_0147	fig|226186.12.peg.144	AAO75254	hypothetical protein	11742.847	16630.752	11433.043	32096.484	33228.56	37145	388	553	712	24092.255	29441.857	31318.577	330.002	147	187	269	357	132
BT_0148	fig|226186.12.peg.145	AAO75255	Hemolysins and related proteins containing CBS domains	16649.943	19056.27	16080.798	22163	16648	27087	138	145	135	37458.694	36177.555	37219.841	211.998	91	141	62	301	122
BT_0149	fig|226186.12.peg.146	AAO75256	putative lipoprotein	2745.427	2548.257	2458.331	936	914.652	907	227	253	267	947.513	1087	927.672	142	32	77	116	69	103
BT_0150	fig|226186.12.peg.147	AAO75257	putative ferric aerobactin receptor	11954.914	12850.263	10633.669	4113	3348.348	3519	450	613	692	3376.487	3106	3262.328	575	258	172	383	534	313
BT_0151	fig|226186.12.peg.148	AAO75258	hypothetical protein	1438.166	1405.815	1595.643	2014.773	1506.88	1738	932.01	1047.996	691	2193.84	2216.897	1705.172	837.641	385.824	341	172.446	181.672	113.78
BT_0152	fig|226186.12.peg.149	AAO75259	acetyl esterase (acetylxylosidase)	2079.88	2674.185	2077.657	1367.227	1097.12	1131	647.99	866.004	735	1474.16	1257.103	1208.828	877.359	388.176	269	1480.554	471.328	315.22
BT_0153	fig|226186.12.peg.150	AAO75260	hypothetical protein	861.343	812.643	889.002	2101.248	2002.299	1604	782	793	713.283	1976.002	2031.19	1586.825	4573.615	1347.762	1009	411.191	592.88	552.74
BT_0154	fig|226186.12.peg.151	AAO75261	putative periplasmic protease	3073.766	3222.357	3049.998	14436.752	13484.701	10249	1304	1601	1642.717	15118.022	13835.995	13919.215	15592.385	5189.238	3341	1414.809	1627.12	1545.26
BT_0155	fig|226186.12.peg.152	AAO75262	tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)	40299.866	41741.704	40526.238	40375	31320	42887	2119	2259	1844	38800.66	54068.533	55127.28	2319	853	1021	1186	1782	1956
BT_0156	fig|226186.12.peg.153	AAO75263	Transcriptional regulator	2748.002	2862	2942	3199.003	2542	3186	343	439	422	3521.665	3834.95	3556.167	1754	752	605	228	267	258
BT_0157	fig|226186.12.peg.154	AAO75264	hypothetical protein	6728.591	9134.524	5865.293	14860.915	13308	14105.812	1860	2322	2882.912	13383.386	11611.349	16791.308	751.097	380	627	746.251	815	700
