geneID	patricID	transcriptID	function	bt_t04_A	bt_t04_B	bt_t04_C	bt_t12_A	bt_t12_B	bt_t12_C	bt_t36_A	bt_t36_B	bt_t36_C	btri_t12_btA	btri_t12_btB	btri_t12_btC	btri_t24_btA	btri_t24_btB	btri_t24_btC	btri_t36_btA	btri_t36_btB	btri_t36_btC	bt_t04_mucin_A	bt_t04_mucin_B	bt_t04_mucin_C	bt_t12_mucin_A	bt_t12_mucin_B	bt_t12_mucin_C	bt_t24_mucin_A	bt_t24_mucin_B	bt_t24_mucin_C	bt_t48_mucin_A	bt_t48_mucin_B	bt_t48_mucin_C	bt_t120_mucin_A	bt_t120_mucin_B	bt_t120_mucin_C	btri_bt_t06_mucinA	btri_bt_t06_mucinB	btri_bt_t06_mucinC	btri_bt_t12_mucinA	btri_bt_t12_mucinB	btri_bt_t12_mucinC	btri_bt_t24_mucinA	btri_bt_t24_mucinB	btri_bt_t24_mucinC	btri_bt_t48_mucinA	btri_bt_t48_mucinB	btri_bt_t48_mucinC	btri_bt_t120_mucinA	btri_bt_t120_mucinB	btri_bt_t120_mucinC
BT_p548201	""	AAO45299	""	39.425220	34.451007	38.055292	58.451004	63.018532	73.639268	320.875194	281.024869	374.209731	117.117248	116.286555	110.146569	580.542974	387.747650	508.561554	419.976084	941.045082	995.591216	66.284754	50.955782	54.284900	115.457234	131.668546	110.875237	146.190148	134.637500	147.738880	371.725401	436.028115	366.468690	193.686705	201.908534	249.721751	49.335443	47.040133	56.987935	53.428960	67.274599	58.836817	173.420999	211.769489	193.072835	1117.355093	767.151744	1009.330990	280.697337	304.452299	385.190728
BT_p548202	""	AAO45300	""	10.875165	8.724582	7.008791	17.941204	23.408086	21.511305	133.911887	110.307657	178.098967	25.642175	24.640955	19.977138	78.158213	91.914538	80.551868	83.214232	94.364518	158.727381	11.989045	20.597874	17.325520	21.316424	18.670352	22.096262	23.899795	42.182571	47.434045	178.495282	125.641997	139.301663	178.996285	107.222433	123.597301	15.087480	14.534182	18.248719	13.955036	17.115881	16.589897	34.546019	42.615212	45.836721	167.288030	200.739458	309.799476	165.773209	190.306042	137.917530
BT_p548203	""	AAO45301	""	7.708174	7.577600	9.732911	25.391516	14.327092	29.223190	13.519090	9.104166	14.902774	7.759563	7.792788	12.748221	9.074505	18.549955	0.000000	2.455777	20.429689	13.444993	10.837143	16.738662	7.806517	11.401292	6.565744	9.702185	10.980578	16.486191	14.272065	3.140321	9.090870	34.307797	0.000000	47.671359	29.465454	9.144858	6.782633	6.542840	9.306094	14.283347	14.960155	7.034317	14.599102	4.772920	31.154960	10.142962	18.390337	17.793174	17.990580	39.167093
BT_p548204	fig|226186.12.peg.4850	AAO45302	zinc metalloproteinase Mpr protein	14.250482	11.242660	14.498779	5.051681	7.083365	3.851270	628.281362	689.579370	780.041619	7.126647	8.389000	7.438821	463.691901	610.812359	489.929158	408.859353	312.564164	496.136517	8.605701	10.345138	20.354053	8.893000	11.232466	10.073447	506.638422	447.925738	756.665430	866.863518	752.881689	889.360019	1223.730265	1306.535353	1337.043285	9.698319	14.041877	13.535507	5.541886	5.356014	4.350301	252.925577	220.850092	286.384630	561.137968	1040.704380	921.414678	1501.409806	1672.931572	1488.511894
BT_p548205	fig|226186.12.peg.4851	AAO45303	hypothetical protein	100.760583	93.081749	88.497399	375.981017	359.087097	366.816466	355.386096	387.073528	361.178223	640.153691	511.933193	488.317693	224.272026	227.954840	207.287973	211.867367	453.085341	320.414573	229.404068	164.908371	135.318556	467.208747	612.621534	624.006283	173.592146	262.220180	174.744134	541.951614	518.007667	464.798554	391.617647	322.977851	314.205873	237.743288	184.465282	187.922626	311.860091	392.627178	352.286911	158.930211	64.476633	109.784951	199.866678	299.923923	231.876672	179.036185	142.217331	174.436721
BT_p548206	fig|226186.12.peg.4852	AAO45304	hypothetical protein	74.267858	82.153315	88.530485	26.120088	18.098107	23.260923	67.324414	110.592356	109.030450	51.380357	47.068278	43.734325	227.831294	317.062024	263.907697	106.161941	246.000384	347.169648	46.451012	39.755976	52.135448	30.931441	32.831320	38.151893	60.473576	75.128327	70.855094	84.263188	94.948694	119.336415	131.473871	103.005583	110.941872	37.176105	47.551003	47.191728	67.707752	63.723760	63.310831	85.551352	97.544376	82.368725	199.315053	211.735852	229.499736	183.083349	193.540292	224.438328
BT_p548207	fig|226186.12.peg.4853	AAO45305	hypothetical protein	7.070198	5.520656	5.532291	9.281362	7.896755	8.328866	85.149999	89.935832	69.349355	10.719349	9.321412	10.205978	41.843197	61.455372	66.278343	22.450568	30.441669	51.303982	7.882106	6.485141	8.320071	11.466131	13.370786	15.022601	21.541938	42.776733	31.320474	57.210694	58.892879	54.203628	53.986379	53.338318	55.301978	5.229543	7.491286	8.478805	11.270136	11.019009	9.652827	30.491680	18.911285	23.739781	93.118176	106.094109	70.711172	101.361636	112.875465	91.017775
BT_p548208	fig|226186.12.peg.4854	AAO45306	Mobilization protein MobC	60.947073	57.883417	57.291887	139.415471	147.064026	150.418649	95.853665	102.619271	99.039461	209.680754	208.454217	187.689735	132.406252	133.775418	149.577551	98.934871	196.740718	183.574685	170.833621	99.495966	84.889437	162.268732	198.308210	201.763150	54.640966	93.924905	57.488892	123.093824	128.783582	130.867323	106.939703	80.159979	83.381782	88.803676	83.688502	86.105710	124.111465	132.985982	124.987611	90.596831	44.318713	59.971793	184.802427	163.684797	137.985059	98.276436	73.875620	83.357247
BT_p548209	fig|226186.12.peg.4855	AAO45307	hypothetical protein	4.169124	3.726473	3.691075	10.827488	16.535821	5.770722	503.296401	966.664927	784.307336	35.470620	21.398584	27.859420	2219.359580	1189.898110	1852.568723	1339.476653	2265.479749	4182.389985	3.013186	3.358099	4.876436	17.493963	30.639120	28.521627	585.291192	273.628873	428.750231	785.235239	592.787891	489.247404	139.935792	252.650222	271.731101	2.864418	2.168885	2.186566	15.518011	14.113590	7.495236	261.503655	204.417720	217.964976	2304.317280	2420.043874	2392.910366	473.152375	619.612180	666.477004
BT_p548210	""	AAO45308	""	9.258321	9.938906	8.368494	64.025706	121.053675	106.359361	1154.702388	1360.611563	1469.212224	101.590541	116.091931	116.867006	2319.886207	1590.712549	1654.021218	1306.704642	2026.435681	3312.861309	18.548351	15.684752	21.932922	113.306205	103.344859	80.666658	666.190682	474.654538	604.951441	1772.066967	1775.083289	1558.988740	164.580583	415.107462	447.008132	8.659406	6.029004	6.879276	35.550466	64.672083	51.898788	526.931247	766.473348	628.175293	7388.031775	6712.697653	8666.808458	1069.165797	1049.364938	1073.928749
BT_p548211	fig|226186.12.peg.4856	AAO45309	hypothetical protein	1.469155	1.194798	1.692873	6.132388	5.011167	6.198735	67.156458	73.530043	94.265639	18.692079	20.962977	16.706114	88.463204	105.097992	102.326781	107.362841	101.644938	193.832647	3.090700	3.000765	2.866201	12.755943	12.382541	11.451635	33.982539	29.888016	27.720158	105.011625	98.694247	109.502251	24.141207	57.370427	66.989616	1.436797	1.840202	2.185069	6.466807	7.887290	6.598987	22.931659	21.739742	18.539804	355.601377	381.286182	409.654866	179.161553	204.902902	188.543334
BT_p548212	""	AAO45310	""	0.363889	0.324307	0.691681	1.200426	2.590135	2.082908	52.069442	28.584537	61.367855	5.409989	6.395270	5.200959	41.869978	64.000344	76.363970	52.994742	35.873239	73.496377	0.880279	1.166589	1.083079	4.293122	3.575378	3.580982	17.165828	19.420749	12.698004	36.651329	49.253610	97.183401	14.676079	29.750633	34.246005	1.312952	0.498321	0.519635	2.545168	2.740098	2.198769	13.427450	7.914569	22.925144	234.599240	260.152456	360.074256	122.809367	112.260230	131.131305
BT_p548213	fig|226186.12.peg.4857	AAO45311	hypothetical protein	0.609034	0.513291	0.641929	1.695443	0.951135	1.315633	21.293939	23.466904	23.322656	3.905159	2.138907	3.161213	13.246495	14.627971	30.400274	55.171576	23.735164	32.732103	0.402718	0.666490	0.828820	2.614828	2.432807	1.762649	10.152599	6.508225	8.567765	23.145230	18.090443	44.510777	0.000000	22.802660	28.872492	0.464652	0.599979	0.579306	2.402294	2.745372	2.290553	4.542950	2.668559	2.450681	109.592726	93.619167	86.011448	89.841677	85.161340	112.076155
BT_p548214	fig|226186.12.peg.4858	AAO45312	hypothetical protein	2.458232	1.844544	2.368160	8.355920	6.267147	9.220680	85.967847	85.523341	116.846977	31.463013	40.925750	30.693654	179.660558	189.665940	164.084808	157.772611	175.103705	252.152261	4.528763	3.234539	3.959275	20.246990	21.004893	15.928702	38.644102	44.556030	41.893549	90.074325	88.816064	84.245929	71.231356	32.058914	55.958427	3.394299	3.233453	4.057532	9.664853	10.265289	8.109262	36.167160	19.553897	20.143237	619.531988	521.890127	715.689951	115.849482	98.121013	138.360685
BT_p548215	fig|226186.12.peg.4859	AAO45313	hypothetical protein	0.523068	0.359321	0.630973	0.666813	0.607641	1.005601	21.678440	13.907462	15.513122	3.034520	3.409814	2.795558	23.753734	30.651647	44.716967	56.031592	43.220912	57.317621	0.655525	0.918818	0.813772	2.899064	2.776457	2.363437	12.648885	11.136636	8.782230	64.336227	22.284837	21.185752	36.870608	26.563273	18.719890	0.559790	0.516162	0.813691	1.971052	1.418467	1.609521	6.719691	4.492621	10.076009	165.921934	128.101964	202.342871	66.740494	52.404866	55.921734
BT_p548216	fig|226186.12.peg.4861	AAO45314	hypothetical protein	0.909370	0.910041	0.725347	1.622132	1.860868	2.850666	21.646862	31.404169	60.210396	5.838026	5.052698	4.740854	34.717144	28.886962	34.174506	67.822579	61.441239	89.123499	1.541198	1.099864	0.950970	2.485201	3.605338	3.419583	11.539836	16.381327	11.971134	38.942185	39.137156	58.475914	18.066271	23.174798	26.626471	1.286470	1.177735	1.251038	3.316107	3.453385	2.482445	9.004464	5.041603	6.271827	134.672658	170.333880	156.667180	87.102407	104.280968	104.715167
