536231.5.peg.1	536231.75.peg.693
536231.5.peg.2	536231.75.peg.692
536231.5.peg.3	536231.75.peg.691
536231.5.peg.4	536231.75.peg.690
536231.5.peg.5	536231.75.peg.689
536231.5.peg.6	536231.75.peg.688
536231.5.peg.7	536231.75.peg.3812
536231.5.peg.8	536231.75.peg.686
536231.5.peg.9	536231.75.peg.685
536231.5.peg.10	536231.75.peg.684
536231.5.peg.11	536231.75.peg.683
536231.5.peg.12	536231.75.peg.682
536231.5.peg.13	536231.75.peg.681
536231.5.peg.14	536231.75.peg.680
536231.5.peg.15	536231.75.peg.679
536231.5.peg.16	536231.75.peg.678
536231.5.peg.17	536231.75.peg.677
536231.5.peg.18	536231.75.peg.676
536231.5.peg.19	536231.75.peg.675
536231.5.peg.20	536231.75.peg.674
536231.5.peg.21	536231.75.peg.673
536231.5.peg.22	536231.75.peg.673
536231.5.peg.23	536231.75.peg.672
536231.5.peg.24	536231.75.peg.670
536231.5.peg.25	536231.75.peg.671
536231.5.peg.26	536231.75.peg.669
536231.5.peg.27	536231.75.peg.668
536231.5.peg.28	536231.75.peg.667
536231.5.peg.29	536231.75.peg.666
536231.5.peg.30	536231.75.peg.665
536231.5.peg.31	536231.75.peg.664
536231.5.peg.32	536231.75.peg.306
536231.5.peg.33	536231.75.peg.4142
536231.5.peg.34	536231.75.peg.4141
536231.5.peg.35	536231.75.peg.1554
536231.5.peg.36	536231.75.peg.664
536231.5.peg.37	536231.75.peg.663
536231.5.peg.38	536231.75.peg.662
536231.5.peg.39	536231.75.peg.661
536231.5.peg.40	536231.75.peg.660
536231.5.peg.41	536231.75.peg.659
536231.5.peg.42	536231.75.peg.658
536231.5.peg.43	536231.75.peg.657
536231.5.peg.44	536231.75.peg.656
536231.5.peg.45	536231.75.peg.655
536231.5.peg.46	536231.75.peg.654
536231.5.peg.47	536231.75.peg.653
536231.5.peg.48	536231.75.peg.652
536231.5.peg.49	536231.75.peg.651
536231.5.peg.50	536231.75.peg.650
536231.5.peg.51	536231.75.peg.649
536231.5.peg.52	536231.75.peg.648
