geneID	patricID	transcriptID	function	ri_t04_A	ri_t04_B	ri_t04_C	ri_t12_A	ri_t12_B	ri_t12_C	ri_t48_A	ri_t48_B	ri_t48_C	btri_t12_riA	btri_t12_riB	btri_t12_riC	btri_t24_riA	btri_t24_riB	btri_t24_riC	btri_t36_riA	btri_t36_riB	btri_t36_riC
RIL182_00001	fig|536231.75.peg.1	fig|536231.75.peg.1|RIL182_00001	Chromosomal replication initiator protein DnaA	56.0438	28.409164	37.341389	67.922653	42.822618	53.937666	75.021014	77.105538	91.057313	59.996131	57.744378	61.862447	28.734451	31.500572	27.643988	8.335796	22.10902	26.018186
RIL182_00002	fig|536231.75.peg.2	fig|536231.75.peg.2|RIL182_00002	DNA polymerase III beta subunit (EC 2.7.7.7)	64.967743	39.215341	53.830126	74.194887	46.756817	87.321924	77.196633	96.833271	94.370353	49.47748	28.908426	44.221778	27.853357	50.899805	41.934918	23.914845	45.467342	29.206358
RIL182_00003	fig|536231.75.peg.3	fig|536231.75.peg.3|RIL182_00003	Uncharacterized S4 RNA-binding-domain protein YbcJ	224.897323	128.934775	133.34296	162.918477	101.499322	239.656615	298.075144	457.56267	401.832993	98.041451	83.615599	104.30531	199.0321	148.198767	0	107.936251	194.166509	167.779172
RIL182_00004	fig|536231.75.peg.4	fig|536231.75.peg.4|RIL182_00004	DNA recombination and repair protein RecF	90.352239	53.182337	85.211757	84.716983	56.104427	79.460712	178.367542	178.32936	185.120533	126.322762	116.658064	127.21264	150.053227	160.166785	145.966033	55.924848	156.319635	119.07651
RIL182_00005	fig|536231.75.peg.5	fig|536231.75.peg.5|RIL182_00005	DNA gyrase subunit B (EC 5.99.1.3)	61.367301	29.792879	43.24022	71.053809	46.228831	60.181931	125.218999	138.280607	121.179458	98.576858	104.472996	120.588429	58.508578	100.855285	105.928129	15.967007	51.582844	60.95163
RIL182_00006	fig|536231.75.peg.6	fig|536231.75.peg.6|RIL182_00006	DNA gyrase subunit A (EC 5.99.1.3)	69.481697	32.12304	51.872184	76.003409	49.886883	72.777595	204.186097	213.40161	195.594229	121.30593	131.891702	127.590967	82.877929	159.301427	164.640077	23.443941	106.050958	107.24258
RIL182_00007	fig|536231.75.peg.7	fig|536231.75.peg.7|RIL182_00007	hypothetical protein	13.479415	6.286532	6.130442	18.610118	10.291666	20.149242	47.01493	47.179067	41.711538	28.850423	32.435176	34.289296	29.02186	45.902109	29.324732	6.009993	39.549832	32.016913
RIL182_00008	fig|536231.75.peg.8	fig|536231.75.peg.8|RIL182_00008	hypothetical protein	16.818196	10.239115	11.455074	24.215101	14.222385	41.254872	57.386054	48.951569	39.989124	39.921033	39.853014	33.717638	59.012545	22.02774	73.236802	10.723489	56.884131	52.794343
RIL182_00009	fig|536231.75.peg.9	fig|536231.75.peg.9|RIL182_00009	"Efflux ABC transporter, permease/ATP-binding protein"	27.374551	22.655251	32.852285	37.002793	25.818247	76.28382	54.371743	49.807563	49.8926	32.134031	33.194121	35.321737	64.433252	62.408125	28.914531	10.52358	39.894315	42.538824
	fig|536231.75.peg.10	fig|536231.75.peg.10	hypothetical protein	8.277587	3.26836	6.143546	11.279157	11.192429	37.996806	6.987416	15.825025	16.655518	5.69915	15.938183	66.782118	30.28112	0	0	8.388617	0	0
RIL182_00010	fig|536231.75.peg.11	fig|536231.75.peg.11|RIL182_00010	Response regulator	38.679419	24.817454	19.151395	717.310021	189.205523	496.078404	1576.939244	1563.921742	1201.426234	163.737262	208.321584	122.357047	375.627588	311.207524	333.937533	1279.495694	561.34771	489.204495
RIL182_00011	fig|536231.75.peg.12	fig|536231.75.peg.12|RIL182_00011	hypothetical protein	5.034052	3.779726	5.068792	88.199013	19.185198	45.288491	279.597807	297.262475	266.016699	39.668559	31.550192	21.556477	59.86735	55.027899	66.29966	143.339547	89.512091	62.696377
RIL182_00012	fig|536231.75.peg.13	fig|536231.75.peg.13|RIL182_00012	beta-glucosidase (EC 3.2.1.21)	6.506628	3.919817	5.836962	80.479345	13.922677	45.642585	304.816001	326.59139	232.288161	26.000782	40.395804	34.957379	30.924906	52.305224	67.711993	27.731917	40.60867	33.53614
	fig|536231.75.peg.14	fig|536231.75.peg.14	hypothetical protein	0	0.687157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RIL182_00013	fig|536231.75.peg.15	fig|536231.75.peg.15|RIL182_00013	hypothetical protein	60.550949	38.067651	50.056997	40.948332	20.889754	130.749436	236.637149	218.926478	219.338953	123.557211	118.11119	103.95537	141.862182	122.540126	90.772698	86.658538	111.509268	89.226124
RIL182_00014	fig|536231.75.peg.16	fig|536231.75.peg.16|RIL182_00014	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	45.226694	22.995562	36.216262	35.025964	14.080884	87.442513	88.311723	115.8072	114.502607	68.61335	71.90873	84.51808	46.185374	170.746063	157.184772	24.185179	52.848028	31.25561
RIL182_00015	fig|536231.75.peg.17	fig|536231.75.peg.17|RIL182_00015	Pantoate--beta-alanine ligase (EC 6.3.2.1)	28.993326	18.157891	25.273481	25.070659	11.05969	50.67732	58.793702	85.295502	67.613302	42.536887	48.06994	55.062358	60.615625	58.425406	44.782663	14.421673	78.189261	30.011712
RIL182_00016	fig|536231.75.peg.18	fig|536231.75.peg.18|RIL182_00016	Aspartate 1-decarboxylase (EC 4.1.1.11)	50.632909	28.082003	41.334553	47.05828	14.501739	87.126232	108.03452	118.115951	82.813717	99.547355	115.868541	104.157154	229.101275	268.006894	164.552132	59.524211	155.333447	117.801866
RIL182_00017	fig|536231.75.peg.19	fig|536231.75.peg.19|RIL182_00017	Uncharacterized DUF1113 membrane protein family	22.742373	14.189766	17.30793	31.155744	17.592316	44.486711	33.749631	39.719711	46.34798	27.484723	27.264351	25.921075	37.696872	22.41103	29.324732	12.490333	20.070064	31.601108
RIL182_00018	fig|536231.75.peg.20	fig|536231.75.peg.20|RIL182_00018	"Fumarate hydratase class I, alpha region (EC 4.2.1.2); L(+)-tartrate dehydratase alpha subunit (EC 4.2.1.32)"	14.729416	8.997795	9.169067	18.348699	11.193207	16.207944	66.670192	48.684825	57.405066	30.280496	35.22934	35.84789	41.004688	42.320967	21.345008	15.786061	18.844174	32.659804
	fig|536231.75.peg.21	fig|536231.75.peg.21	hypothetical protein	17.440224	10.315731	6.388032	30.809655	5.796119	26.450276	66.447867	149.292708	53.851977	62.308179	36.774348	20.820158	56.098588	92.942634	61.405324	15.554695	23.435344	60.867463
RIL182_00019	fig|536231.75.peg.22	fig|536231.75.peg.22|RIL182_00019	"Fumarate hydratase class I, beta region (EC 4.2.1.2); L(+)-tartrate dehydratase beta subunit (EC 4.2.1.32)"	17.312235	8.570107	11.486366	21.858415	11.922138	16.928018	36.578474	43.47515	38.452718	37.148019	39.628707	42.98721	18.684841	25.716894	85.028077	10.931115	6.309342	12.214638
RIL182_00020	fig|536231.75.peg.23	fig|536231.75.peg.23|RIL182_00020	"Oxidoreductase, Gfo/Idh/MocA family"	15.348894	8.619373	9.968949	21.509681	12.050044	24.28895	36.365727	39.696438	37.678822	35.570468	30.685762	34.905027	23.389142	37.456415	34.733394	15.281115	28.390516	43.12343
RIL182_00028	fig|536231.75.peg.24	fig|536231.75.peg.24|RIL182_00028	Methyl-accepting chemotaxis protein	122.586514	95.453106	95.214564	172.123413	90.372973	344.027231	137.551212	147.642901	145.385463	156.878897	157.985527	148.261627	211.696264	239.305585	277.625951	105.166512	193.533019	190.464702
RIL182_00029	fig|536231.75.peg.25	fig|536231.75.peg.25|RIL182_00029	hypothetical protein	0.192542	0.044509	0	0	0	0	0.782614	7.849975	0.603608	0	0	0	0	0	0	0	0	0
RIL182_00030	fig|536231.75.peg.26	fig|536231.75.peg.26|RIL182_00030	"Transposase, IS30 family"	0.129305	0.097674	0.138421	0	0.00844	0	0.467127	1.520451	0.519156	0	0	0	0	2.55169	0	0	0	0
RIL182_00031	fig|536231.75.peg.27	fig|536231.75.peg.27|RIL182_00031	mobilization/transfer protein	0.182266	0.137197	0.603568	0.095743	0.132849	0.310826	0.843405	0.683854	0.411252	0.40599	0.836493	0.242484	0	0	0	0	18.613114	0
RIL182_00032	fig|536231.75.peg.28	fig|536231.75.peg.28|RIL182_00032	hypothetical protein	0.302021	0.250864	0	0.1757	0.115617	0.371913	1.727044	6.882427	4.251215	1.397178	0	0	0	0	0	0	0	0
