Genome	Genome ID	Accession	BRC ID	RefSeq Locus Tag	Alt Locus Tag	Feature ID	Annotation	Feature Type	Start	End	Length	Strand	FIGfam ID	PATRIC genus-specific families (PLfams)	PATRIC cross-genus families (PGfams)	Protein ID	AA Length	Gene Symbol	Product	GO
"Bacteroides thetaiotaomicron VPI-5482"	"226186.12"	"NC_004663"	"fig|226186.12.peg.825"	"BT_0807"	"VBIBacThe70966_0825"	"PATRIC.226186.12.NC_004663.CDS.1000008.1000388.fwd"	"PATRIC"	"CDS"	1000008	1000388	381	"+"	"FIG00430996"	"PLF_816_00000666"	"PGF_00423723"	"NP_809720.1"	126		"DnaK suppressor protein, putative"	
"Bacteroides thetaiotaomicron VPI-5482"	"226186.12"	"NC_004663"	"fig|226186.12.peg.826"	"BT_0808"	"VBIBacThe70966_0826"	"PATRIC.226186.12.NC_004663.CDS.1000486.1001142.fwd"	"PATRIC"	"CDS"	1000486	1001142	657	"+"	"FIG00000081"	"PLF_816_00000671"	"PGF_10049472"	"NP_809721.1"	218		"Lipoprotein signal peptidase (EC 3.4.23.36)"	
"Bacteroides thetaiotaomicron VPI-5482"	"226186.12"	"NC_004663"	"fig|226186.12.peg.827"	"BT_0809"	"VBIBacThe70966_0827"	"PATRIC.226186.12.NC_004663.CDS.1001132.1002214.fwd"	"PATRIC"	"CDS"	1001132	1002214	1083	"+"	"FIG00937013"	"PLF_816_00005354"	"PGF_08772195"	"NP_809722.1"	360		"hypothetical protein"	
"Bacteroides thetaiotaomicron VPI-5482"	"226186.12"	"NC_004663"	"fig|226186.12.peg.828"	"BT_0811"	"VBIBacThe70966_0828"	"PATRIC.226186.12.NC_004663.CDS.1002547.1003305.rev"	"PATRIC"	"CDS"	1002547	1003305	759	"-"	"FIG00614629"	"PLF_816_00001113"	"PGF_09288314"	"NP_809724.1"	252		"RNA methyltransferase, TrmH family"	
"Bacteroides thetaiotaomicron VPI-5482"	"226186.12"	"NC_004663"	"fig|226186.12.peg.104"	"BT_0108"	"VBIBacThe70966_0104"	"PATRIC.226186.12.NC_004663.CDS.100303.102303.rev"	"PATRIC"	"CDS"	100303	102303	2001	"-"	"FIG00011200"	"PLF_816_00012755"	"PGF_02913972"	"NP_809021.1"	666		"Toprim domain protein"	
"Bacteroides thetaiotaomicron VPI-5482"	"226186.12"	"NC_004663"	"fig|226186.12.peg.829"	"BT_0812"	"VBIBacThe70966_0829"	"PATRIC.226186.12.NC_004663.CDS.1003497.1003859.fwd"	"PATRIC"	"CDS"	1003497	1003859	363	"+"	"FIG01317294"	"PLF_816_00014138"	"PGF_06973251"	"NP_809725.1"	120		"Transcriptional regulator, MecI family"	
"Bacteroides thetaiotaomicron VPI-5482"	"226186.12"	"NC_004663"	"fig|226186.12.peg.830"	"BT_0813"	"VBIBacThe70966_0830"	"PATRIC.226186.12.NC_004663.CDS.1003872.1005203.fwd"	"PATRIC"	"CDS"	1003872	1005203	1332	"+"	"FIG00029463"	"PLF_816_00013331"	"PGF_00047436"	"NP_809726.1"	443		"Regulatory sensor-transducer, BlaR1/MecR1 family / TonB-dependent receptor"	
"Bacteroides thetaiotaomicron VPI-5482"	"226186.12"	"NC_004663"	"fig|226186.12.peg.831"	"BT_0814"	"VBIBacThe70966_0831"	"PATRIC.226186.12.NC_004663.CDS.1005415.1007733.fwd"	"PATRIC"	"CDS"	1005415	1007733	2319	"+"	"FIG00898527"	"PLF_816_00021659"	"PGF_00857232"	"NP_809727.1"	772		"conserved hypothetical protein, putative outer membrane protein"	
"Bacteroides thetaiotaomicron VPI-5482"	"226186.12"	"NC_004663"	"fig|226186.12.peg.832"	"BT_0815"	"VBIBacThe70966_0832"	"PATRIC.226186.12.NC_004663.CDS.1007809.1008120.rev"	"PATRIC"	"CDS"	1007809	1008120	312	"-"	"FIG01365563"	"PLF_816_00001150"	"PGF_03148083"	"NP_809728.1"	103		"hypothetical protein"	
"Bacteroides thetaiotaomicron VPI-5482"	"226186.12"	"NC_004663"	"fig|226186.12.peg.833"	"BT_0816"	"VBIBacThe70966_0833"	"PATRIC.226186.12.NC_004663.CDS.1008466.1008630.rev"	"PATRIC"	"CDS"	1008466	1008630	165	"-"	"FIG01401589"	"PLF_816_00045388"	"PGF_00423833"	"NP_809729.1"	54		"DoxX family protein"	
"Bacteroides thetaiotaomicron VPI-5482"	"226186.12"	"NC_004663"	"fig|226186.12.peg.834"	"BT_0817"	"VBIBacThe70966_0834"	"PATRIC.226186.12.NC_004663.CDS.1009071.1009400.rev"	"PATRIC"	"CDS"	1009071	1009400	330	"-"	"FIG00638782"	"PLF_816_00124235"	"PGF_06223157"	"NP_809730.1"	109		"Lipoprotein"	
"Bacteroides thetaiotaomicron VPI-5482"	"226186.12"	"NC_004663"	"fig|226186.12.peg.835"	"BT_0818"	"VBIBacThe70966_0835"	"PATRIC.226186.12.NC_004663.CDS.1009677.1012403.rev"	"PATRIC"	"CDS"	1009677	1012403	2727	"-"	"FIG01308481"	"PLF_816_00007377"	"PGF_02620852"	"NP_809731.1"	908		"Two-component system sensor histidine kinase"	
"Bacteroides thetaiotaomicron VPI-5482"	"226186.12"	"NC_004663"	"fig|226186.12.peg.836"	"BT_0820"	"VBIBacThe70966_0836"	"PATRIC.226186.12.NC_004663.CDS.1013065.1013484.rev"	"PATRIC"	"CDS"	1013065	1013484	420	"-"	"FIG00638284"	"PLF_816_00040847"	"PGF_08225224"	"NP_809733.1"	139		"hypothetical protein"	
"Bacteroides thetaiotaomicron VPI-5482"	"226186.12"	"NC_004663"	"fig|226186.12.peg.837"	"BT_0821"	"VBIBacThe70966_0837"	"PATRIC.226186.12.NC_004663.CDS.1013590.1014978.fwd"	"PATRIC"	"CDS"	1013590	1014978	1389	"+"	"FIG00004528"	"PLF_816_00009074"	"PGF_00043096"	"NP_809734.1"	462		"Putative permease"	
